SECTION,ZONATION,BROWN,RED,GREEN,ENCRUSTING,OTHER
6,U,A,A,P,P,A
6,M,A,P,P,A,A
6,M,A,P,P,P,A
6,U,P,A,P,A,A
6,U,P,A,P,A,A
6,L,P,P,P,A,A
6,L,A,P,P,A,A
6,L,A,P,P,A,A
6,L,A,P,P,P,A
6,M,P,P,P,A,A
6,M,A,P,P,A,A
6,M,A,A,P,P,A
6,M,A,A,P,P,A
6,L,P,A,P,A,A
6,L,A,P,P,A,A
6,M,A,A,P,A,A
6,M,A,A,P,A,P
6,U,A,P,P,A,A
6,U,A,P,P,A,A
6,U,A,P,P,A,A
6,U,A,A,A,A,A
6,U,A,P,P,A,A
6,U,A,P,P,A,A
6,L,P,A,P,A,A
6,L,P,A,P,A,A
6,L,P,A,P,A,A
6,L,P,A,P,A,A
6,L,P,A,P,P,A
6,L,P,A,P,P,A
6,L,P,A,P,A,A
6,L,P,A,P,A,A
6,L,P,A,P,A,A
6,L,P,A,P,A,A
6,U,P,A,P,P,A
6,U,P,A,A,A,A
6,U,P,A,A,A,A
6,U,P,A,A,A,A
6,U,P,A,A,A,A
6,U,P,A,A,A,A
6,U,P,A,A,A,A
6,U,P,A,A,A,A
7,U,P,A,A,P,A
7,U,P,A,A,A,A
7,U,A,A,A,P,A
7,U,P,A,A,P,A
7,L,A,A,P,A,A
7,L,A,A,P,A,A
7,L,P,A,P,A,A
7,L,A,A,P,A,A
7,L,P,A,P,A,A
7,L,P,A,P,A,A
7,M,P,A,P,A,A
7,M,P,A,P,A,A
7,M,P,A,P,A,A
7,M,A,A,P,A,A
7,M,P,A,P,A,A
7,M,P,A,P,A,A
7,M,A,A,P,A,A
7,M,P,A,P,A,A
7,L,P,A,P,A,A
7,L,P,A,P,A,A
7,L,P,A,P,A,A
7,L,P,A,P,P,A
7,L,P,A,P,A,A
7,L,P,A,P,A,A
7,M,P,A,P,A,A
7,M,A,A,P,A,A
7,L,P,A,P,A,A
7,L,P,A,P,A,A
7,L,P,A,P,P,A
7,L,P,A,P,A,A
7,L,P,A,P,A,A
7,L,P,A,P,A,A
7,L,A,A,P,P,A
7,L,A,A,P,P,A
7,L,P,A,P,P,A
7,L,P,P,P,P,A
7,M,A,A,P,A,A
7,M,P,A,P,P,A
7,M,A,A,P,P,A
7,M,A,A,A,A,A
7,M,A,A,P,P,A
7,M,A,A,P,P,A
7,M,A,A,P,A,A
7,M,P,A,P,P,A
7,U,P,A,A,A,A
7,U,P,A,A,A,A
7,U,P,A,A,A,A
7,U,P,A,A,A,A
7,U,A,A,A,A,A
7,U,A,A,A,A,A
7,U,P,A,P,A,A
7,U,P,A,P,A,A
7,U,P,A,P,A,A
7,U,P,A,P,P,A
7,U,P,A,P,A,A
7,U,P,A,A,A,A
7,U,P,A,A,P,A
7,U,P,A,A,P,A
7,U,A,A,A,A,A
7,U,A,A,A,A,A
7,U,A,A,A,A,A
8,L,P,P,P,A,A
8,L,P,P,P,A,A
8,L,P,P,P,A,A
8,L,P,A,P,A,A
8,M,A,P,P,A,A
8,M,A,P,P,A,A
8,U,P,A,P,A,A
8,U,P,A,P,A,A
8,U,P,A,P,A,A
8,U,P,A,P,A,A
8,M,P,A,P,A,A
8,M,P,P,P,A,A
8,U,P,A,P,A,A
8,U,P,P,P,A,A
8,M,P,P,P,A,A
8,M,P,A,P,A,A
8,M ,P,P,P,A,A
8,M,A,P,P,A,A
8,U,A,A,P,A,A
8,U,A,A,A,A,A
8,L,P,P,A,A,A
8,L,P,A,A,A,A
8,M,P,A,P,A,A
8,M,P,P,P,A,A
8,L,P,P,P,A,A
8,L,P,A,P,A,A
8,M,P,P,P,A,A
8,M,P,P,P,A,A
8,L,P,P,P,A,A
8,L,P,A,P,A,A
8,M,A,A,A,A,A
8,M,P,A,P,A,A
8,U,P,A,P,A,A
8,U,P,A,P,A,A
8,U,A,P,P,A,A
8,U,A,P,P,A,A
8,M,P,P,P,A,A
8,M,A,A,P,A,A
8,U,P,A,P,A,A
8,U,A,A,P,A,A
8,M,A,A,P,A,A
